('coop', 'poultry') ('aquarium', 'fish')  << [('aquarium', 'fish'), ('forest', 'wildlife'), ('crib', 'nursery'), ('fence', 'yard'), ('barn', 'tool')]
('wallet', 'money') ('suitcase', 'clothing')  << [('safe', 'lock'), ('suitcase', 'clothing'), ('camera', 'film'), ('setting', 'jewel'), ('car', 'engine')]
('constellation', 'stars') ('range', 'mountains')  << [('construction', 'houses'), ('honey', 'bees'), ('map', 'boundaries'), ('train', 'passengers'), ('range', 'mountains')]
('calculator', 'compute') ('clamp', 'grip')  << [('plug', 'insert'), ('clamp', 'grip'), ('saddle', 'straddle'), ('bridge', 'suspend'), ('incinerator', 'warm')]
('extravagant', 'spend') ('belligerent', 'fight')  << [('belligerent', 'fight'), ('remarkable', 'surprise'), ('charitable', 'receive'), ('antagonistic', 'agree'), ('persuasive', 'believe')]
('architect', 'blueprint') ('composer', 'score')  << [('instructor', 'blackboard'), ('graduate', 'diploma'), ('musician', 'note'), ('painter', 'brush'), ('composer', 'score')]
('weave', 'fabric') ('write', 'text')  << [('illustrate', 'manual'), ('hang', 'picture'), ('sew', 'thread'), ('bake', 'oven'), ('write', 'text')]
('criterion', 'judgment') ('standard', 'selection')  << [('height', 'statue'), ('depth', 'bottom'), ('song', 'voice'), ('edge', 'sharpness'), ('standard', 'selection')]
('abbreviation', 'word') ('abstract', 'report')  << [('outline', 'story'), ('plot', 'fiction'), ('page', 'paper'), ('paragraph', 'book'), ('abstract', 'report')]
('amplifier', 'ear') ('telescope', 'eye')  << [('computer', 'brain'), ('telescope', 'eye'), ('book', 'library'), ('clock', 'time'), ('keyboard', 'finger')]
('bequest', 'heir') ('gift', 'recipient')  << [('gift', 'recipient'), ('huge', 'weight'), ('painting', 'artist'), ('payment', 'donor'), ('measure', 'gauge')]
('archeology', 'science') ('chair', 'furniture')  << [('ridge', 'mountain'), ('pride', 'lion'), ('oxen', 'cow'), ('chair', 'furniture'), ('mammal', 'horse')]
('progenitor', 'descendant') ('parent', 'offspring')  << [('stem', 'leaves'), ('teacher', 'student'), ('mother', 'aunt'), ('cloud', 'rain'), ('parent', 'offspring')]
('dearth', 'abundance') ('poverty', 'wealth')  << [('retribution', 'infamy'), ('death', 'funeral'), ('poverty', 'wealth'), ('contempt', 'anger'), ('ruse', 'plan')]
('caprice', 'predictable') ('caution', 'reckless')  << [('indifference', 'callous'), ('caution', 'reckless'), ('concern', 'affectionate'), ('friendliness', 'congenial'), ('spontaneity', 'whimsical')]
('acquit', 'charge') ('rescue', 'danger')  << [('accuse', 'offense'), ('punish', 'reward'), ('extricate', 'freedom'), ('camouflage', 'identity'), ('rescue', 'danger')]
('encourage', 'coerce') ('suggest', 'command')  << [('implement', 'accomplish'), ('suggest', 'command'), ('hinder', 'facilitate'), ('filter', 'separate'), ('oppose', 'disagree')]
('best', 'seller') ('hit', 'song')  << [('anthology', 'poem'), ('rave', 'critic'), ('collector', 'painting'), ('performance', 'play'), ('hit', 'song')]
('excitement', 'frenzy') ('surprise', 'astonishment')  << [('communication', 'signal'), ('strength', 'resistance'), ('surprise', 'astonishment'), ('reform', 'corruption'), ('fondness', 'hatred')]
('courier', 'message') ('prophet', 'revelation')  << [('soldier', 'battle'), ('student', 'knowledge'), ('prophet', 'revelation'), ('judge', 'law'), ('athlete', 'prowess')]
('immaculate', 'clean') ('enormous', 'large')  << [('enormous', 'large'), ('superficial', 'careful'), ('tiresome', 'bored'), ('precious', 'greedy'), ('obvious', 'deceptive')]
('scene', 'act') ('line', 'stanza')  << [('outline', 'book'), ('line', 'stanza'), ('accent', 'stress'), ('rhyme', 'sound'), ('palette', 'painting')]
('arboretum', 'botanical') ('aquarium', 'marine')  << [('farm', 'domesticated'), ('planetarium', 'artificial'), ('university', 'academic'), ('aquarium', 'marine'), ('gymnasium', 'athletic')]
('fame', 'celebrity') ('value', 'treasure')  << [('diploma', 'graduation'), ('vacation', 'employee'), ('value', 'treasure'), ('actor', 'theater'), ('laughter', 'joke')]
('adult', 'child') ('cat', 'kitten')  << [('horse', 'mare'), ('cat', 'kitten'), ('swine', 'sow'), ('human', 'animal'), ('cow', 'herd')]
('envelope', 'letter') ('crate', 'produce')  << [('scarf', 'hat'), ('box', 'bag'), ('crate', 'produce'), ('neck', 'head'), ('blood', 'heart')]
('vertigo', 'dizzy') ('influenza', 'feverish')  << [('temperature', 'virus'), ('influenza', 'feverish'), ('fear', 'heights'), ('illness', 'germs'), ('no', 'choice')]
('indigenous', 'native') ('alien', 'foreign')  << [('new', 'used'), ('alien', 'foreign'), ('aged', 'wrinkled'), ('immigrate', 'exodus'), ('no', 'choice')]
('mentor', 'guide') ('prophet', 'predict')  << [('prophet', 'predict'), ('instructor', 'discipline'), ('tyrant', 'relentless'), ('citizen', 'unique'), ('no', 'choice')]
('worry', 'panic') ('happiness', 'bliss')  << [('brain', 'intelligence'), ('happiness', 'bliss'), ('smile', 'anger'), ('agenda', 'list'), ('clock', 'time')]
('oxygen', 'gas') ('aluminum', 'metal')  << [('cobra', 'venom'), ('doctor', 'hospital'), ('aluminum', 'metal'), ('gymnasium', 'track'), ('airplane', 'cloud')]
('shallow', 'depth') ('apathetic', 'caring')  << [('salty', 'ocean'), ('cloudy', 'height'), ('lurid', 'shock'), ('pious', 'faith'), ('apathetic', 'caring')]
('amorphous', 'shape') ('intrepid', 'fear')  << [('morbid', 'death'), ('intrepid', 'fear'), ('fundamental', 'basics'), ('prominent', 'sight'), ('hopeless', 'pessimism')]
('scissors', 'cut') ('spice', 'season')  << [('window', 'close'), ('spice', 'season'), ('cloth', 'weave'), ('mask', 'frighten'), ('country', 'vote')]
('smile', 'happiness') ('frown', 'anger')  << [('boredom', 'apathy'), ('cook', 'food'), ('comedy', 'laughter'), ('frown', 'anger'), ('resentment', 'mutiny')]
('burnish', 'metal') ('sand', 'wood')  << [('cut', 'scissors'), ('deliver', 'box'), ('polish', 'wax'), ('sand', 'wood'), ('tarnish', 'silver')]
('amalgam', 'metals') ('coalition', 'factions')  << [('fracture', 'bones'), ('divorce', 'marriages'), ('coalition', 'factions'), ('car', 'payments'), ('convention', 'speeches')]
('lame', 'mobility') ('hoarse', 'speech')  << [('lively', 'energy'), ('hostile', 'enemy'), ('hoarse', 'speech'), ('fractured', 'cast'), ('walk', 'transportation')]
('embargo', 'trade') ('helmet', 'injury')  << [('umbrella', 'clouds'), ('engine', 'automobile'), ('license', 'fishing'), ('alarm', 'valuable'), ('helmet', 'injury')]
('alteration', 'suit') ('revision', 'story')  << [('digestion', 'snack'), ('revision', 'story'), ('irrigation', 'crop'), ('cooking', 'apron'), ('detection', 'gun')]
('flake', 'snow') ('drop', 'rain')  << [('storm', 'hail'), ('drop', 'rain'), ('field', 'wheat'), ('stack', 'hay'), ('cloud', 'sky')]
('tree', 'forest') ('star', 'galaxy')  << [('bird', 'sky'), ('fish', 'sea'), ('star', 'galaxy'), ('mammal', 'land'), ('lake', 'river')]
('void', 'empty') ('system', 'organized')  << [('glut', 'prosperous'), ('system', 'organized'), ('answer', 'questioning'), ('ration', 'scarce'), ('intent', 'clear')]
('sketch', 'artist') ('draft', 'writer')  << [('secret', 'confidant'), ('palette', 'painter'), ('cell', 'prisoner'), ('draft', 'writer'), ('chisel', 'sculptor')]
('chat', 'converse') ('browse', 'read')  << [('allege', 'deny'), ('halt', 'traverse'), ('purchase', 'rent'), ('study', 'learn'), ('browse', 'read')]
('collage', 'images') ('medley', 'songs')  << [('medley', 'songs'), ('book', 'volumes'), ('survey', 'lands'), ('collection', 'lists'), ('assembly', 'bills')]
('refugee', 'asylum') ('opportunist', 'advantage')  << [('astronaut', 'capsule'), ('perfectionist', 'frustration'), ('consumer', 'impulse'), ('opportunist', 'advantage'), ('director', 'stage')]
('proficiency', 'expert') ('passion', 'enthusiast')  << [('recognition', 'winner'), ('victory', 'athlete'), ('passion', 'enthusiast'), ('appointment', 'official'), ('medicine', 'doctor')]
('reclusive', 'companionship') ('frugal', 'extravagance')  << [('frugal', 'extravagance'), ('organized', 'structure'), ('pitiful', 'compassion'), ('provocative', 'anger'), ('moody', 'unhappiness')]
('sort', 'criterion') ('rank', 'value')  << [('shuffle', 'order'), ('train', 'competence'), ('rank', 'value'), ('divide', 'quantity'), ('poll', 'opinion')]
('current', 'electricity') ('beam', 'light')  << [('gauge', 'measurement'), ('forge', 'metal'), ('beam', 'light'), ('ripple', 'lake'), ('curve', 'circle')]
('waiter', 'diner') ('clerk', 'customer')  << [('ballerina', 'dancer'), ('clerk', 'customer'), ('nurse', 'orderly'), ('juror', 'judge'), ('captain', 'teammate')]
('emulate', 'person') ('mimic', 'gesture')  << [('admire', 'reputation'), ('obey', 'leader'), ('cooperate', 'partner'), ('mimic', 'gesture'), ('mock', 'sarcasm')]
('lens', 'glass') ('sweater', 'wool')  << [('well', 'water'), ('saw', 'wood'), ('sweater', 'wool'), ('fuel', 'fire'), ('ink', 'paper')]
('flap', 'wing') ('wave', 'hand')  << [('speak', 'sound'), ('wave', 'hand'), ('whisper', 'word'), ('stub', 'toe'), ('sing', 'bird')]
('poison', 'toxic') ('sugar', 'sweet')  << [('mixture', 'soluble'), ('sugar', 'sweet'), ('medicine', 'prescribed'), ('milk', 'bottled'), ('solid', 'liquid')]
('camera', 'photographer') ('drill', 'dentist')  << [('house', 'architect'), ('sink', 'plumber'), ('studio', 'painter'), ('meat', 'butcher'), ('drill', 'dentist')]
('fission', 'energy') ('combustion', 'heat')  << [('reaction', 'response'), ('distortion', 'image'), ('nutrient', 'growth'), ('evaporation', 'liquid'), ('combustion', 'heat')]
('postscript', 'letter') ('epilogue', 'play')  << [('preamble', 'document'), ('footnote', 'reference'), ('epilogue', 'play'), ('signature', 'name'), ('index', 'page')]
('story', 'building') ('layer', 'cake')  << [('crust', 'sandwich'), ('shingle', 'roof'), ('data', 'file'), ('layer', 'cake'), ('root', 'plant')]
('siren', 'warning') ('light', 'illumination')  << [('shovel', 'dirt'), ('alarm', 'clock'), ('barrier', 'intrusion'), ('signal', 'reception'), ('light', 'illumination')]
('contemporaries', 'age') ('housemates', 'residence')  << [('housemates', 'residence'), ('faculty', 'scholarship'), ('idols', 'worship'), ('kin', 'reunion'), ('authors', 'anthology')]
('seed', 'plant') ('egg', 'bird')  << [('pouch', 'kangaroo'), ('root', 'soil'), ('drop', 'water'), ('bark', 'tree'), ('egg', 'bird')]


analogy ✅
(hw0-setup) zeyang@pa-dhcp-10-120-233-40 a5 % python3 "/Users/zeyang/Desktop/ML/Ling/a5/analogies.py"
('mortar', 'brick') ('glue', 'paper')  << [('sap', 'tree'), ('siding', 'house'), ('glue', 'paper'), ('core', 'apple'), ('oil', 'engine')]
('tunnel', 'mine') ('corridor', 'building')  << [('conduit', 'fluid'), ('corner', 'intersection'), ('sign', 'detour'), ('aisle', 'seat'), ('corridor', 'building')]
('levee', 'flood') ('immunization', 'disease')  << [('snow', 'avalanche'), ('rain', 'deluge'), ('immunization', 'disease'), ('zenith', 'view'), ('buttress', 'building')]
('mercenary', 'money') ('vindictive', 'revenge')  << [('vindictive', 'revenge'), ('scholarly', 'library'), ('immaculate', 'cleanliness'), ('thirsty', 'water'), ('belligerent', 'invasion')]
('format', 'newspaper') ('design', 'building')  << [('binding', 'book'), ('design', 'building'), ('direction', 'sign'), ('market', 'commodity'), ('catalogue', 'library')]
('paint', 'canvas') ('peanut', 'butter')  << [('brush', 'bucket'), ('peanut', 'butter'), ('clock', 'time'), ('art', 'life'), ('no', 'choice')]
('testimony', 'witness') ('expertise', 'authority')  << [('leadership', 'follower'), ('proof', 'theorist'), ('expertise', 'authority'), ('contradiction', 'investigator'), ('confiscation', 'official')]
('promontory', 'view') ('haven', 'refuge')  << [('haven', 'refuge'), ('waterfall', 'revelation'), ('prison', 'interrogation'), ('church', 'diversity'), ('memorial', 'architecture')]
('terrestrial', 'land') ('aquatic', 'water')  << [('vegetarian', 'plants'), ('predatory', 'animal'), ('nocturnal', 'day'), ('arid', 'desert'), ('aquatic', 'water')]
('atlas', 'maps') ('manual', 'instructions')  << [('manual', 'instructions'), ('directory', 'pages'), ('almanac', 'years'), ('dictionary', 'writers'), ('tome', 'books')]
('rife', 'singular') ('strong', 'weak')  << [('sharp', 'pointed'), ('one', 'unit'), ('round', 'square'), ('strong', 'weak'), ('smell', 'good')]
('alligator', 'reptile') ('lion', 'cat')  << [('fish', 'school'), ('lion', 'cat'), ('wolf', 'sheep'), ('cub', 'bear'), ('dog', 'bone')]
('playwright', 'actor') ('composer', 'musician')  << [('architect', 'custodian'), ('composer', 'musician'), ('biographer', 'celebrity'), ('soldier', 'colonel'), ('lawyer', 'judge')]
('enthusiast', 'fervor') ('expert', 'skill')  << [('soldier', 'strength'), ('prisoner', 'remorse'), ('expert', 'skill'), ('servant', 'obedience'), ('parent', 'wisdom')]
('tactile', 'touch') ('visible', 'sight')  << [('musical', 'hearing'), ('audible', 'volume'), ('nasal', 'smell'), ('sensitive', 'feeling'), ('visible', 'sight')]
('ensemble', 'dancer') ('band', 'musician')  << [('clique', 'outsider'), ('band', 'musician'), ('gymnasium', 'athlete'), ('museum', 'curator'), ('audience', 'performer')]
('mechanical', 'garage') ('nurse', 'hospital')  << [('artist', 'canvas'), ('administrator', 'personnel'), ('teller', 'window'), ('teacher', 'information'), ('nurse', 'hospital')]
Answering by analogy scored: 0.28289473684210525
Answering by parallelism scored: 0.34210526315789475
(hw0-setup) zeyang@pa-dhcp-10-120-233-40 a5 % 

parallism ✅
(hw0-setup) zeyang@pa-dhcp-10-120-233-40 a5 % python3 "/Users/zeyang/Desktop/ML/Ling/a5/analogies.py"
('word', 'language') ('note', 'music')  << [('paint', 'portrait'), ('poetry', 'rhythm'), ('note', 'music'), ('tale', 'story'), ('week', 'year')]
('drought', 'rain') ('famine', 'nourishment')  << [('desert', 'sun'), ('hurricane', 'wind'), ('epidemic', 'disease'), ('volcano', 'lava'), ('famine', 'nourishment')]
('museum', 'exhibit') ('theater', 'performance')  << [('studio', 'painter'), ('library', 'research'), ('theater', 'performance'), ('picture', 'frame'), ('orchestra', 'conductor')]
('arena', 'conflict') ('forum', 'discussion')  << [('mirage', 'reality'), ('forum', 'discussion'), ('asylum', 'pursuit'), ('utopia', 'place'), ('amphitheater', 'stage')]
('diversion', 'boredom') ('assurance', 'uncertainty')  << [('assurance', 'uncertainty'), ('enmity', 'hatred'), ('secrecy', 'curiosity'), ('reward', 'deed'), ('sluggishness', 'fatigue')]
('tutor', 'pupil') ('coach', 'athlete')  << [('patron', 'client'), ('coach', 'athlete'), ('waiter', 'diner'), ('driver', 'passenger'), ('novelist', 'writer')]
('audience', 'theater') ('spectators', 'arena')  << [('crew', 'ship'), ('scholars', 'library'), ('group', 'society'), ('spectators', 'arena'), ('actors', 'stage')]
('lobbyist', 'cause') ('advertiser', 'product')  << [('legislator', 'voter'), ('clergy', 'congregation'), ('advertiser', 'product'), ('defendant', 'verdict'), ('consumer', 'goods')]
('carpenter', 'woodwork') ('weaver', 'cloth')  << [('guitarist', 'pick'), ('cook', 'heat'), ('sculptor', 'studio'), ('weaver', 'cloth'), ('potter', 'shape')]
('wing', 'air') ('flipper', 'water')  << [('arm', 'hand'), ('lung', 'breath'), ('flipper', 'water'), ('cloud', 'sky'), ('engine', 'jet')]
('stimulant', 'activity') ('fertilizer', 'growth')  << [('symptom', 'disease'), ('food', 'hunger'), ('fertilizer', 'growth'), ('diagnosis', 'treatment'), ('gravity', 'force')]
('index', 'topics') ('roster', 'names')  << [('agenda', 'meeting'), ('diary', 'secrets'), ('roster', 'names'), ('manual', 'equipment'), ('ledger', 'numbers')]
('precarious', 'stability') ('anomalous', 'model')  << [('mean', 'gauge'), ('huge', 'weight'), ('exact', 'measure'), ('exotic', 'accord'), ('anomalous', 'model')]
('devotion', 'obsession') ('confidence', 'conceit')  << [('ability', 'skill'), ('confidence', 'conceit'), ('intelligence', 'capability'), ('surprise', 'horror'), ('pleasure', 'blessing')]
('strident', 'sound') ('acrid', 'taste')  << [('fragrant', 'flower'), ('acrid', 'taste'), ('outdated', 'book'), ('adjusted', 'clock'), ('broken', 'glass')]
('submit', 'subordinate') ('secede', 'autonomous')  << [('loud', 'cacophony'), ('rebel', 'solitude'), ('secede', 'autonomous'), ('inferior', 'dominant'), ('no', 'choice')]
('library', 'book') ('stable', 'horse')  << [('scholar', 'knowledge'), ('stable', 'horse'), ('factory', 'outlet'), ('laboratory', 'radiation'), ('laser', 'energy')]
('emigrate', 'country') ('retreat', 'position')  << [('retreat', 'position'), ('retire', 'pension'), ('voyage', 'suitcase'), ('swindle', 'property'), ('novel', 'old')]
('territory', 'delegate') ('whole', 'sample')  << [('whole', 'sample'), ('agent', 'manager'), ('lobbyist', 'senator'), ('pitch', 'salesman'), ('minority', 'majority')]
('vulnerable', 'hurt') ('fluid', 'changed')  << [('fluid', 'changed'), ('vague', 'truncated'), ('virtuous', 'bribed'), ('witty', 'amused'), ('divergent', 'exploited')]
('resolute', 'determination') ('skeptical', 'doubt')  << [('pristine', 'grace'), ('skeptical', 'doubt'), ('tainted', 'honor'), ('stringent', 'suggestions'), ('wary', 'risks')]
('fickle', 'inconsistency') ('placid', 'calmness')  << [('cloudy', 'warmth'), ('innate', 'capability'), ('worthy', 'heroism'), ('placid', 'calmness'), ('solid', 'order')]
('trial', 'jury') ('dispute', 'arbiter')  << [('dispute', 'arbiter'), ('poll', 'contestant'), ('championship', 'spectator'), ('conference', 'speaker'), ('match', 'competitor')]
('catalog', 'shopper') ('menu', 'diner')  << [('contract', 'lawyer'), ('schedule', 'worker'), ('menu', 'diner'), ('article', 'author'), ('bank', 'teller')]
('portfolio', 'documents') ('album', 'photographs')  << [('album', 'photographs'), ('government', 'policies'), ('drama', 'acts'), ('excavation', 'artifacts'), ('rhythm', 'drums')]
('embroidery', 'cloth') ('mural', 'wall')  << [('bracelet', 'jewelry'), ('mural', 'wall'), ('tattoo', 'design'), ('paint', 'color'), ('flower', 'vase')]
Answering by analogy scored: 0.28289473684210525
Answering by parallelism scored: 0.34210526315789475
(hw0-setup) zeyang@pa-dhcp-10-120-233-40 a5 % 
